id,name,category,price,stock,image
P001,Black T-Shirt, T-Shirt,450,30,../blkpaper/pic/tshirt/1.jpg
P002,White T-Shirt, T-Shirt,420,25,../blkpaper/pic/tshirt/2.jpg
P003,Grey T-Shirt, T-Shirt,480,20,../blkpaper/pic/tshirt/3.jpg
P004,Striped T-Shirt, T-Shirt,500,18,../blkpaper/pic/tshirt/4.jpg
P005,Graphic T-Shirt, T-Shirt,550,22,../blkpaper/pic/tshirt/5.jpg
P006,Cotton Polo, Shirt,750,15,../blkpaper/pic/shirt/1.jpg
P007,Denim Shirt, Shirt,1200,10,../blkpaper/pic/shirt/2.jpg
P008,Formal Shirt, Shirt,980,12,../blkpaper/pic/shirt/3.jpg
P009,Checked Shirt, Shirt,880,14,../blkpaper/pic/shirt/4.jpg
P010,Linen Shirt, Shirt,1100,8,../blkpaper/pic/shirt/5.jpg
P011,Summer Dress, Dress,1800,9,../blkpaper/pic/dress/1.jpg
P012,Floral Dress, Dress,2200,7,../blkpaper/pic/dress/2.jpg
P013,Evening Dress, Dress,3200,5,../blkpaper/pic/dress/3.jpg
P014,Maxi Dress, Dress,2500,6,../blkpaper/pic/dress/4.jpg
P015,Party Dress, Dress,4000,4,../blkpaper/pic/dress/5.jpg
P016,Silk Saree, Saree,5200,6,../blkpaper/pic/saree/1.jpg
P017,Banarasi Saree, Saree,6800,3,../blkpaper/pic/saree/2.jpg
P018,Cotton Saree, Saree,2800,8,../blkpaper/pic/saree/3.jpg
P019,Chiffon Saree, Saree,4500,5,../blkpaper/pic/saree/4.jpg
P020,Printed Saree, Saree,3200,7,../blkpaper/pic/saree/5.jpg
P021,Silver Bracelet, Bracelet,750,20,../blkpaper/pic/braclet/1.jpg
P022,Gold-plated Bracelet, Bracelet,1200,10,../blkpaper/pic/braclet/2.jpg
P023,Beaded Bracelet, Bracelet,450,30,../blkpaper/pic/braclet/3.jpg
P024,Leather Bracelet, Bracelet,650,15,../blkpaper/pic/braclet/4.jpg
P025,Charm Bracelet, Bracelet,950,12,../blkpaper/pic/braclet/5.jpg
P026,Classic Watch, Watch,3200,7,../blkpaper/pic/watch/1.jpg
P027,Analog Watch, Watch,4600,5,../blkpaper/pic/watch/2.jpg
P028,Digital Watch, Watch,2100,10,../blkpaper/pic/watch/3.jpg
P029,Smart Watch, Watch,7800,3,../blkpaper/pic/watch/4.jpg
P030,Sport Watch, Watch,2800,8,../blkpaper/pic/watch/5.jpg
P031,Black Hoodie, T-Shirt,1200,16,../blkpaper/pic/tshirt/6.jpg
P032,Denim Jacket, Dress,3400,6,../blkpaper/pic/dress/6.jpg
P033,Kurta Set, Dress,2200,10,../blkpaper/pic/dress/7.jpg
P034,Silk Scarf, Dress,900,18,../blkpaper/pic/dress/8.jpg
P035,Embroidered Saree, Saree,5900,2,../blkpaper/pic/saree/6.jpg
P036,Handloom Saree, Saree,4100,5,../blkpaper/pic/saree/7.jpg
P037,Casual Shirt, Shirt,850,20,../blkpaper/pic/shirt/6.jpg
P038,Plaid Shirt, Shirt,920,14,../blkpaper/pic/shirt/7.jpg
P039,Vintage Watch, Watch,5200,2,../blkpaper/pic/watch/6.jpg
P040,Beige T-Shirt, T-Shirt,430,28,../blkpaper/pic/tshirt/7.jpg
P041,Cuff Bracelet, Bracelet,1100,9,../blkpaper/pic/braclet/6.jpg
P042,Lace Dress, Dress,2700,7,../blkpaper/pic/dress/9.jpg
P043,Summer Saree, Saree,3000,8,../blkpaper/pic/saree/8.jpg
P044,Stripe Polo, Shirt,780,15,../blkpaper/pic/shirt/8.jpg
P045,Graphic Hoodie, T-Shirt,1500,10,../blkpaper/pic/tshirt/8.jpg
P046,Minimal Watch, Watch,3800,4,../blkpaper/pic/watch/7.jpg
P047,Denim Shorts, Dress,900,25,../blkpaper/pic/dress/10.jpg
P048,Casual Trousers, Dress,1400,12,../blkpaper/pic/dress/11.jpg
P049,Silk Kurta, Dress,2600,6,../blkpaper/pic/dress/12.jpg
P050,Pleated Skirt, Dress,1300,14,../blkpaper/pic/dress/13.jpg
